date,time,borough,zip_code,latitude,longitude,on_street_name,cross_street_name,off_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,unique_key,vehicle_type_code_1,vehicle_type_code_2,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5
2015-06-19 00:00:00+00,16:53:00,,,,,,,,1,0,0,0,0,0,1,0,Fatigued/Drowsy,Unspecified,,,,3243675,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
2015-06-19 00:00:00+00,17:00:00,,,,,DITMARS BOULEVARD,MARINE TERMINAL ROAD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3242646,PASSENGER VEHICLE,PICK-UP TRUCK,,,
2015-06-19 00:00:00+00,18:40:00,,,,,GLEN STREET,SOUTH AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3245549,SPORT UTILITY / STATION WAGON,PICK-UP TRUCK,,,
2015-06-19 00:00:00+00,22:04:00,,,,,9 AVENUE,WEST 14 STREET,,0,0,0,0,0,0,0,0,Other Vehicular,Turning Improperly,,,,3242222,SPORT UTILITY / STATION WAGON,TAXI,,,
2015-06-19 00:00:00+00,23:15:00,BROOKLYN,11235,40.5906331,-73.9497508,OCEAN AVENUE,AVENUE Y,,1,0,1,0,0,0,0,0,Unspecified,,,,,3242422,UNKNOWN,,,,
2015-06-18 00:00:00+00,00:50:00,,,,,MAURICE AVENUE,BORDEN AVENUE,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,3242067,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2015-06-18 00:00:00+00,07:50:00,,,,,EAST 161 STREET,JEROME AVENUE,,0,0,0,0,0,0,0,0,Unsafe Speed,,,,,3242348,PASSENGER VEHICLE,,,,
2015-06-17 00:00:00+00,23:15:00,,,,,SHERIDAN AVENUE,CONDUIT BOULEVARD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3241899,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2015-06-17 00:00:00+00,08:35:00,,,,,BRUCKNER BOULEVARD,EAST 138 STREET,,1,0,0,0,0,0,1,0,Prescription Medication,Unspecified,,,,3241049,OTHER,OTHER,,,
2015-06-17 00:00:00+00,07:40:00,,,,,VERNON BOULEVARD,50 AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Lost Consciousness,,,,3241468,PASSENGER VEHICLE,BUS,,,
2015-06-17 00:00:00+00,23:59:00,MANHATTAN,10023,40.7817499,-73.9810645,WEST 76 STREET,BROADWAY,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,,,,3243386,TAXI,PASSENGER VEHICLE,,,
2015-06-17 00:00:00+00,22:00:00,,,40.715855,-73.8118222,,,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3242059,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2015-06-17 00:00:00+00,19:33:00,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,3241105,OTHER,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,
2015-06-16 00:00:00+00,08:00:00,,,40.7314171,-73.9172203,,,,1,0,0,0,0,0,1,0,Turning Improperly,Unspecified,,,,3241467,LARGE COM VEH(6 OR MORE TIRES),TAXI,,,
2015-06-16 00:00:00+00,15:00:00,,,,,82 AVENUE,QUEENS BOULEVARD,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3241990,AMBULANCE,VAN,,,
2015-06-16 00:00:00+00,18:30:00,,,,,FOREST PARK DRIVE,JACKIE ROBINSON PARKWAY,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3246650,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2015-06-15 00:00:00+00,07:20:00,,,,,,,I/F VARICK STREET,0,0,0,0,0,0,0,0,Unspecified,,,,,3239683,VAN,PASSENGER VEHICLE,,,
2015-06-15 00:00:00+00,00:10:00,,,,,MAIN STREET,41 AVENUE,,1,0,0,0,0,0,1,0,Pavement Slippery,,,,,3240275,BUS,,,,
2015-06-15 00:00:00+00,08:17:00,,,,,,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3239949,UNKNOWN,PASSENGER VEHICLE,,,
2015-06-11 00:00:00+00,11:00:00,,,,,,,PL OF 2040 FOREST AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3238426,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2015-06-15 00:00:00+00,14:13:00,MANHATTAN,10065,40.7628049,-73.9656703,3 AVENUE,EAST 61 STREET,,0,1,0,1,0,0,0,0,Other Vehicular,,,,,3239795,SMALL COM VEH(4 TIRES),,,,
