time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-10-16T13:00:46.320Z,36.2041667,-120.1225,14.62,2.62,md,56,164,0.2288,0.12,nc,nc72713206,2016-10-18T00:26:01.681Z,"1km W of Huron, California",earthquake,0.45,0.74,0.23,70,reviewed,nc,nc
2016-10-16T11:55:14.740Z,-23.1848,-66.7419,205.03,4.4,mb,,119,1.343,0.71,us,us20007ek7,2016-10-16T12:12:15.040Z,"107km W of El Aguilar, Argentina",earthquake,9.9,9,0.123,19,reviewed,us,us
2016-10-16T11:25:32.600Z,32.2971667,-115.3453333,2.8,3.14,ml,22,115,0.1267,0.26,ci,ci37718752,2016-10-17T13:57:33.913Z,"16km WSW of Delta, B.C., MX",earthquake,0.49,1.02,0.202,78,reviewed,ci,ci
2016-10-16T10:39:24.780Z,-14.5689,167.4065,192.61,4.7,mb,,72,6.176,1.07,us,us20007eju,2016-10-16T11:28:29.040Z,"65km NE of Port-Olry, Vanuatu",earthquake,10.3,7.4,0.091,37,reviewed,us,us
2016-10-16T10:30:51.470Z,-3.4751,139.2784,60.25,4.7,mb,,119,7.04,0.83,us,us20007ejp,2016-10-16T10:49:28.040Z,"172km WSW of Abepura, Indonesia",earthquake,12,8.2,0.103,29,reviewed,us,us
2016-10-16T08:40:20.310Z,39.7682,20.7164,10,4.5,mb,,58,0.711,1.2,us,us20007eis,2016-10-16T09:18:57.040Z,"6km N of Rodotopion, Greece",earthquake,3.2,1.9,0.106,26,reviewed,us,us
2016-10-16T08:05:40.660Z,-57.2246,-25.2136,53.05,4.7,mb,,83,7.011,0.75,us,us20007eik,2016-10-16T08:33:53.040Z,"134km ESE of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,8,7.3,0.086,41,reviewed,us,us
2016-10-16T07:37:03.830Z,38.3018,141.5331,14.24,5.1,mb,,127,0.728,0.74,us,us20007ei7,2016-10-18T19:44:51.040Z,"24km ESE of Ishinomaki, Japan",earthquake,4.6,4.3,0.043,174,reviewed,us,us
2016-10-16T05:55:06.560Z,39.8453,20.644,10,4.4,mb,,58,0.666,0.75,us,us20007ehj,2016-10-16T11:14:53.246Z,"16km NNW of Rodotopion, Greece",earthquake,5.3,1.9,0.117,21,reviewed,us,us
2016-10-16T05:52:52.160Z,-8.8504,-74.7638,134.9,4.5,mb,,102,2.321,0.74,us,us20007ehk,2016-10-16T06:25:17.040Z,"41km S of Campoverde, Peru",earthquake,8.6,6,0.078,48,reviewed,us,us
2016-10-16T05:06:33.600Z,39.7389,20.7222,10,4.6,mb,,76,0.714,0.96,us,us20007ehc,2016-10-16T16:22:23.011Z,"3km N of Rodotopion, Greece",earthquake,4.9,1.9,0.094,34,reviewed,us,us
